attack,attack_param,n_wm,n_clean,auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,best_accuracy
jpeg,25,20,20,0.8275,0.3,0.3,0.825
random_baseline,,20,20,0.5,0.01,0.05,0.5
