attack,attack_param,n_wm,n_clean,auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,best_accuracy
jpeg,15,50,50,0.79,0.26,0.34,0.75
random_baseline,,50,50,0.5,0.01,0.05,0.5
