attack,attack_param,n_wm,n_clean,auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,best_accuracy
jpeg,25,50,50,0.8832,0.22,0.66,0.81
random_baseline,,50,50,0.5,0.01,0.05,0.5
