sample_idx,type,distance,eta,sigma_sq,p_value,is_watermarked
0,watermarked,1.0010945026408833,1150.319392458208,0.2768279016017914,0.0,1
0,random,28.595365839375845,317.6621683143838,1015.9813842773438,1.5926411305598104e-28,1
1,watermarked,1.0010945026407534,1150.319240613634,0.27682793140411377,0.0,1
1,random,29.31226092425565,318.41107019444456,1079.975830078125,2.315770152531035e-28,1
2,watermarked,1.0010945026408546,1150.3187850812294,0.2768280506134033,0.0,1
2,random,27.393507766384758,317.56345125918153,990.0557250976562,1.5157556384584346e-28,1
3,watermarked,1.0010945026407947,1150.3193924578597,0.2768279016017914,0.0,1
3,random,26.66242364038,317.4377697826025,923.983642578125,1.4231407278421147e-28,1
4,watermarked,1.0010945026408729,1150.3191646920243,0.27682796120643616,0.0,1
4,random,29.113139140434342,317.95395064110073,1051.1104736328125,1.8431120942365503e-28,1
5,watermarked,1.0010945026408056,1150.3189369251386,0.27682802081108093,0.0,1
5,random,29.311577588372913,317.5167651623112,1070.253173828125,1.4807083899451445e-28,1
6,watermarked,1.0010945026408435,1150.3193924582708,0.2768279016017914,0.0,1
6,random,29.797672128114126,317.50132354826707,1162.37353515625,1.4693060581320397e-28,1
7,watermarked,1.0010945026409332,1150.3190128476415,0.27682799100875854,0.0,1
7,random,28.781566025707974,317.4896212602406,1040.45166015625,1.460680326116395e-28,1
8,watermarked,1.0010945026407079,1150.3189369247912,0.27682802081108093,0.0,1
8,random,28.93871698122304,316.7771841462784,1053.0067138671875,1.0209951321902679e-28,1
9,watermarked,1.0010945026407356,1150.3184054702604,0.2768281400203705,0.0,1
9,random,29.891895890604623,317.7632845442461,1133.1834716796875,1.6754105767667524e-28,1
10,watermarked,1.0010945026407463,1150.3190128473602,0.27682799100875854,0.0,1
10,random,30.90635421586688,317.1224809124975,1213.6072998046875,1.2147921249852257e-28,1
11,watermarked,1.0010945026410059,1150.319240614393,0.27682793140411377,0.0,1
11,random,29.599751942449586,317.56778749368164,1092.5264892578125,1.5190825061924612e-28,1
12,watermarked,1.001094502640972,1150.3187850816753,0.2768280506134033,0.0,1
12,random,28.486753559193115,317.5178430602195,1057.8927001953125,1.4815058822785326e-28,1
13,watermarked,1.0010945026407094,1150.3192406134697,0.27682793140411377,0.0,1
13,random,27.937948133840305,317.42099689723847,1019.0408935546875,1.4112441521990574e-28,1
14,watermarked,1.0010945026407652,1150.3190128475596,0.27682799100875854,0.0,1
14,random,27.498001892301808,316.724688805577,955.1376953125,9.943226550817025e-29,1
15,watermarked,1.0010945026407236,1150.3199239128564,0.27682778239250183,0.0,1
15,random,29.47083065000537,316.936472540209,1152.528564453125,1.1062792346588174e-28,1
16,watermarked,1.001094502640812,1150.319392458151,0.2768279016017914,0.0,1
16,random,29.57495061800115,317.59300407972955,1141.230712890625,1.5384172480758733e-28,1
17,watermarked,1.0010945026407518,1150.3184054703784,0.2768281400203705,0.0,1
17,random,27.013166797535625,317.97913168161864,931.6190795898438,1.8664206953952712e-28,1
18,watermarked,1.0010945026407567,1150.3192406138685,0.27682793140411377,0.0,1
18,random,28.26134081627148,318.5689822851055,953.4749755859375,2.5053444857465878e-28,1
19,watermarked,1.0010945026408005,1150.3184054702144,0.2768281400203705,0.0,1
19,random,27.96319938786393,317.50650488107965,1012.7349243164062,1.4730937401198651e-28,1
20,watermarked,1.0010945026407467,1150.3186332366502,0.2768280804157257,0.0,1
20,random,28.57689264544032,317.9839248029712,1022.0003662109375,1.8709363504799907e-28,1
21,watermarked,1.0010945026409053,1150.3184054703825,0.2768281400203705,0.0,1
21,random,28.091372872432142,317.7354211899239,1038.07373046875,1.6521716532127237e-28,1
22,watermarked,1.0010945026407874,1150.3193924579027,0.2768279016017914,0.0,1
22,random,27.461673357264555,316.7419307978079,976.2255249023438,1.0030046503806554e-28,1
23,watermarked,1.0010945026407532,1150.3189369252107,0.27682802081108093,0.0,1
23,random,27.320221504799683,317.293169565151,1000.4144287109375,1.3235291869717647e-28,1
24,watermarked,1.0010945026407343,1150.3189369249308,0.27682802081108093,0.0,1
24,random,26.80344537539435,316.45945429748866,914.9116821289062,8.698076606614295e-29,1
25,watermarked,1.0010945026407176,1150.3190128473266,0.27682799100875854,0.0,1
25,random,30.008817034475857,317.2677341240005,1141.74658203125,1.3067607924337284e-28,1
26,watermarked,1.0010945026408407,1150.3190128473314,0.27682799100875854,0.0,1
26,random,28.507798470355212,316.77805912579953,1040.2872314453125,1.0214429812620266e-28,1
27,watermarked,1.0010945026407876,1150.3184054704725,0.2768281400203705,0.0,1
27,random,29.225446701727744,317.8340463739282,1107.0340576171875,1.7358153582851203e-28,1
28,watermarked,1.001094502640741,1150.318936925017,0.27682802081108093,0.0,1
28,random,27.132908360597447,316.9964105038058,939.5442504882812,1.140109686385181e-28,1
29,watermarked,1.0010945026409335,1150.3193924585487,0.2768279016017914,0.0,1
29,random,28.227393212078294,318.0098267545038,1045.974853515625,1.8953313830349945e-28,1
30,watermarked,1.001094502640924,1150.3192406139683,0.27682793140411377,0.0,1
30,random,28.992906973711328,317.6379879236826,1075.6282958984375,1.5734782667647556e-28,1
31,watermarked,1.0010945026408233,1150.3186332366754,0.2768280804157257,0.0,1
31,random,29.235683492054047,317.19552099946503,1039.4378662109375,1.2601837645635638e-28,1
32,watermarked,1.0010945026408797,1150.3190128474414,0.27682799100875854,0.0,1
32,random,30.16309882502799,316.45835494754743,1126.072265625,8.693612184703064e-29,1
33,watermarked,1.0010945026407765,1150.319012847313,0.27682799100875854,0.0,1
33,random,26.93150091618498,317.2898484316766,922.9096069335938,1.3213000423374335e-28,1
34,watermarked,1.0010945026409042,1150.3179499380658,0.27682825922966003,0.0,1
34,random,27.27647927263459,318.51237869459675,957.2918701171875,2.4356726596450333e-28,1
35,watermarked,1.0010945026406677,1150.3186332366317,0.2768280804157257,0.0,1
35,random,26.359804717411155,317.3942934021904,898.331298828125,1.3924200010390182e-28,1
36,watermarked,1.0010945026406304,1150.3195443020625,0.276827871799469,0.0,1
36,random,29.564080617816227,317.70117925373046,1073.1583251953125,1.6240886299577246e-28,1
37,watermarked,1.0010945026408278,1150.3191646916873,0.27682796120643616,0.0,1
37,random,29.752061564745144,317.2243017637442,1128.422119140625,1.2785574007176535e-28,1
38,watermarked,1.001094502640913,1150.3197720690264,0.2768278121948242,0.0,1
38,random,31.334762455974747,318.3260169294858,1203.4769287109375,2.2196149600572895e-28,1
39,watermarked,1.001094502640716,1150.3186332362282,0.2768280804157257,0.0,1
39,random,27.72246500015639,316.3252708840591,1020.7760009765625,8.128380446600584e-29,1
40,watermarked,1.0010945026408777,1150.318633237006,0.2768280804157257,0.0,1
40,random,26.536961854447352,317.87913076851356,902.4913330078125,1.7753471750847554e-28,1
41,watermarked,1.0010945026408895,1150.318936925235,0.27682802081108093,0.0,1
41,random,28.275184691788468,318.24951019320866,1026.1776123046875,2.136407404832652e-28,1
42,watermarked,1.0010945026407088,1150.3184054703818,0.2768281400203705,0.0,1
42,random,26.495529362546765,317.01775863755057,893.3475952148438,1.1524059764654442e-28,1
43,watermarked,1.001094502640656,1150.318177703386,0.27682819962501526,0.0,1
43,random,27.74701431280295,316.84459991597583,995.5802612304688,1.0562486799682574e-28,1
44,watermarked,1.0010945026408222,1150.3186332368346,0.2768280804157257,0.0,1
44,random,27.719570553234547,317.4551095421386,972.95068359375,1.4355918638837399e-28,1
45,watermarked,1.0010945026408027,1150.3192406138094,0.27682793140411377,0.0,1
45,random,29.310480652405058,317.8173402480852,1112.9637451171875,1.7213633082047952e-28,1
46,watermarked,1.001094502640906,1150.3191646919518,0.27682796120643616,0.0,1
46,random,30.54088900194676,317.81465542784554,1183.6739501953125,1.7190679966740384e-28,1
47,watermarked,1.0010945026408717,1150.3182536262987,0.27682816982269287,0.0,1
47,random,28.73193593428288,317.7961490766092,1019.922119140625,1.70317355930118e-28,1
48,watermarked,1.0010945026407994,1150.3184054704511,0.2768281400203705,0.0,1
48,random,27.529335777683258,317.8512897512485,963.6287231445312,1.7508128698123022e-28,1
49,watermarked,1.0010945026406737,1150.3192406133794,0.27682793140411377,0.0,1
49,random,29.11446812623022,317.4864688260326,1057.35302734375,1.4583769552381245e-28,1
