sample_idx,type,distance,eta,sigma_sq,p_value,is_watermarked
0,watermarked,0.9939840900422314,854.98650807291,0.31046539545059204,0.0,1
0,random,28.637229319162657,268.3606140829414,1009.3313598632812,1.9174991130366746e-24,1
1,watermarked,0.9939840900421995,854.9863182127348,0.3104654550552368,0.0,1
1,random,28.904413644370123,269.22739936060475,1048.60986328125,2.959544362949589e-24,1
2,watermarked,0.9939840900422149,854.9870143665962,0.3104652166366577,0.0,1
2,random,26.841743301436427,268.60561241032025,965.2892456054688,2.1683539198612237e-24,1
3,watermarked,0.9939840900423362,854.9866979333938,0.31046533584594727,0.0,1
3,random,26.134229888977465,268.3743313652542,910.4447021484375,1.930718275916025e-24,1
4,watermarked,0.9939840900424068,854.9872675142337,0.31046512722969055,0.0,1
4,random,28.87764224616389,268.9686929192263,1047.98828125,2.600722250665364e-24,1
5,watermarked,0.9939840900422647,854.9870143668659,0.3104652166366577,0.0,1
5,random,30.254135323676667,268.43125021547854,1130.4833984375,1.986772425403432e-24,1
6,watermarked,0.9939840900424259,854.9870143674756,0.3104652166366577,0.0,1
6,random,30.08665848937749,268.35594220749886,1190.443603515625,1.913050724652702e-24,1
7,watermarked,0.9939840900422822,854.9870776533986,0.3104651868343353,0.0,1
7,random,28.65675955649334,268.41802682543437,1015.7462768554688,1.973593347744938e-24,1
8,watermarked,0.9939840900423199,854.9866979333273,0.31046533584594727,0.0,1
8,random,29.014058188740602,267.85575587760854,1051.114013671875,1.4872943822719165e-24,1
9,watermarked,0.993984090042332,854.9864447868317,0.31046542525291443,0.0,1
9,random,30.613387704069574,268.70737485074187,1177.54736328125,2.281890319540721e-24,1
10,watermarked,0.993984090042185,854.986318213041,0.3104654550552368,0.0,1
10,random,30.60155450111844,268.17206889208944,1190.86279296875,1.744157191697554e-24,1
11,watermarked,0.9939840900422071,854.9866979332141,0.31046533584594727,0.0,1
11,random,29.732827111015872,268.6217307713042,1115.5489501953125,2.185999770698787e-24,1
12,watermarked,0.9939840900422104,854.9866979331614,0.31046533584594727,0.0,1
12,random,29.016575911249323,268.4569915243492,1089.611328125,2.0126019752887777e-24,1
13,watermarked,0.9939840900423216,854.987077653767,0.3104651868343353,0.0,1
13,random,27.879187587243795,268.25431352221057,1006.255126953125,1.8177585616325277e-24,1
14,watermarked,0.9939840900421952,854.9865080731752,0.31046539545059204,0.0,1
14,random,27.536571878094772,267.60720125758775,951.1334228515625,1.3119408265011079e-24,1
15,watermarked,0.9939840900421913,854.9866979332252,0.31046533584594727,0.0,1
15,random,29.9379199976289,268.0895651479388,1167.8121337890625,1.6732300927528784e-24,1
16,watermarked,0.99398409004224,854.986191639634,0.3104655146598816,0.0,1
16,random,29.844429482622203,268.47718680253166,1165.9332275390625,2.0331252109909724e-24,1
17,watermarked,0.993984090042314,854.9869510801698,0.3104652464389801,0.0,1
17,random,26.92906539444302,269.004974257014,920.0594482421875,2.6482684913010385e-24,1
18,watermarked,0.9939840900421112,854.9871409402986,0.31046515703201294,0.0,1
18,random,28.268276526621335,269.3240718509839,952.3748168945312,3.1057378929831744e-24,1
19,watermarked,0.9939840900421587,854.9869510801095,0.3104652464389801,0.0,1
19,random,27.864693684331957,268.3847048643314,1006.2068481445312,1.9408408101393724e-24,1
20,watermarked,0.9939840900424662,854.9867612202992,0.3104653060436249,0.0,1
20,random,27.852815108064437,269.0984406376977,981.3784790039062,2.774939586282367e-24,1
21,watermarked,0.9939840900422766,854.9864447863173,0.31046542525291443,0.0,1
